Nr,KeggModule,KeggModuleNR,KeggModuleName,CategoryGlobal,Category,KeggModuleOrder
428,Environmental information processing - Two-component regulatory system - M00448: CssS-CssR (secretion stress response) two-component regulatory system,M00448,M00448: CssS-CssR (secretion stress response) two-component regulatory system,Environmental information processing,Two-component regulatory system,428
429,Environmental information processing - Two-component regulatory system - M00449: CreC-CreB (phosphate regulation) two-component regulatory system,M00449,M00449: CreC-CreB (phosphate regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,429
430,Environmental information processing - Two-component regulatory system - M00450: BaeS-BaeR (envelope stress response) two-component regulatory system,M00450,M00450: BaeS-BaeR (envelope stress response) two-component regulatory system,Environmental information processing,Two-component regulatory system,430
431,Environmental information processing - Two-component regulatory system - M00451: BasS-BasR (antimicrobial peptide resistance) two-component regulatory system,M00451,M00451: BasS-BasR (antimicrobial peptide resistance) two-component regulatory system,Environmental information processing,Two-component regulatory system,431
432,Environmental information processing - Two-component regulatory system - M00452: CusS-CusR (copper tolerance) two-component regulatory system,M00452,M00452: CusS-CusR (copper tolerance) two-component regulatory system,Environmental information processing,Two-component regulatory system,432
433,Environmental information processing - Two-component regulatory system - M00453: QseC-QseB (quorum sensing) two-component regulatory system,M00453,M00453: QseC-QseB (quorum sensing) two-component regulatory system,Environmental information processing,Two-component regulatory system,433
434,Environmental information processing - Two-component regulatory system - M00454: KdpD-KdpE (potassium transport) two-component regulatory system,M00454,M00454: KdpD-KdpE (potassium transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,434
435,Environmental information processing - Two-component regulatory system - M00455: TorS-TorR (TMAO respiration) two-component regulatory system,M00455,M00455: TorS-TorR (TMAO respiration) two-component regulatory system,Environmental information processing,Two-component regulatory system,435
436,Environmental information processing - Two-component regulatory system - M00456: ArcB-ArcA (anoxic redox control) two-component regulatory system,M00456,M00456: ArcB-ArcA (anoxic redox control) two-component regulatory system,Environmental information processing,Two-component regulatory system,436
437,Environmental information processing - Two-component regulatory system - M00457: TctE-TctD (tricarboxylic acid transport) two-component regulatory system,M00457,M00457: TctE-TctD (tricarboxylic acid transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,437
438,Environmental information processing - Two-component regulatory system - M00458: ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system,M00458,M00458: ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system,Environmental information processing,Two-component regulatory system,438
439,Environmental information processing - Two-component regulatory system - M00459: VicK-VicR (cell wall metabolism) two-component regulatory system,M00459,M00459: VicK-VicR (cell wall metabolism) two-component regulatory system,Environmental information processing,Two-component regulatory system,439
440,Environmental information processing - Two-component regulatory system - M00460: MprB-MprA (maintenance of persistent infection) two-component regulatory system,M00460,M00460: MprB-MprA (maintenance of persistent infection) two-component regulatory system,Environmental information processing,Two-component regulatory system,440
441,Environmental information processing - Two-component regulatory system - M00461: MtrB-MtrA (osmotic stress response) two-component regulatory system,M00461,M00461: MtrB-MtrA (osmotic stress response) two-component regulatory system,Environmental information processing,Two-component regulatory system,441
442,Environmental information processing - Two-component regulatory system - M00462: PrrB-PrrA (intracellular multiplication) two-component regulatory system,M00462,M00462: PrrB-PrrA (intracellular multiplication) two-component regulatory system,Environmental information processing,Two-component regulatory system,442
443,Environmental information processing - Two-component regulatory system - M00463: TrcS-TrcR two-component regulatory system,M00463,M00463: TrcS-TrcR two-component regulatory system,Environmental information processing,Two-component regulatory system,443
444,Environmental information processing - Two-component regulatory system - M00464: NrsS-NrsR (nickel tolerance) two-component regulatory system,M00464,M00464: NrsS-NrsR (nickel tolerance) two-component regulatory system,Environmental information processing,Two-component regulatory system,444
445,Environmental information processing - Two-component regulatory system - M00465: ManS-ManR (manganese homeostasis) two-component regulatory system,M00465,M00465: ManS-ManR (manganese homeostasis) two-component regulatory system,Environmental information processing,Two-component regulatory system,445
446,Environmental information processing - Two-component regulatory system - M00466: NblS-NblR (photosynthesis) two-component regulatory system,M00466,M00466: NblS-NblR (photosynthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,446
447,Environmental information processing - Two-component regulatory system - M00467: SasA-RpaAB (circadian timing mediating) two-component regulatory system,M00467,M00467: SasA-RpaAB (circadian timing mediating) two-component regulatory system,Environmental information processing,Two-component regulatory system,447
448,Environmental information processing - Two-component regulatory system - M00468: SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system,M00468,M00468: SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,448
449,Environmental information processing - Two-component regulatory system - M00469: BceS-BceR (bacitracin transport) two-component regulatory system,M00469,M00469: BceS-BceR (bacitracin transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,449
450,Environmental information processing - Two-component regulatory system - M00470: YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system,M00470,M00470: YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system,Environmental information processing,Two-component regulatory system,450
451,Environmental information processing - Two-component regulatory system - M00471: NarX-NarL (nitrate respiration) two-component regulatory system,M00471,M00471: NarX-NarL (nitrate respiration) two-component regulatory system,Environmental information processing,Two-component regulatory system,451
452,Environmental information processing - Two-component regulatory system - M00472: NarQ-NarP (nitrate respiration) two-component regulatory system,M00472,M00472: NarQ-NarP (nitrate respiration) two-component regulatory system,Environmental information processing,Two-component regulatory system,452
453,Environmental information processing - Two-component regulatory system - M00473: UhpB-UhpA (hexose phosphates uptake) two-component regulatory system,M00473,M00473: UhpB-UhpA (hexose phosphates uptake) two-component regulatory system,Environmental information processing,Two-component regulatory system,453
454,Environmental information processing - Two-component regulatory system - M00474: RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system,M00474,M00474: RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,454
455,Environmental information processing - Two-component regulatory system - M00475: BarA-UvrY (central carbon metabolism) two-component regulatory system,M00475,M00475: BarA-UvrY (central carbon metabolism) two-component regulatory system,Environmental information processing,Two-component regulatory system,455
456,Environmental information processing - Two-component regulatory system - M00476: ComP-ComA (competence) two-component regulatory system,M00476,M00476: ComP-ComA (competence) two-component regulatory system,Environmental information processing,Two-component regulatory system,456
457,Environmental information processing - Two-component regulatory system - M00477: EvgS-EvgA (acid and drug tolerance) two-component regulatory system,M00477,M00477: EvgS-EvgA (acid and drug tolerance) two-component regulatory system,Environmental information processing,Two-component regulatory system,457
458,Environmental information processing - Two-component regulatory system - M00478: DegS-DegU (multicellular behavior control) two-component regulatory system,M00478,M00478: DegS-DegU (multicellular behavior control) two-component regulatory system,Environmental information processing,Two-component regulatory system,458
459,Environmental information processing - Two-component regulatory system - M00479: DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system,M00479,M00479: DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,459
460,Environmental information processing - Two-component regulatory system - M00480: VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system,M00480,M00480: VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,460
461,Environmental information processing - Two-component regulatory system - M00481: LiaS-LiaR (cell wall stress response) two-component regulatory system,M00481,M00481: LiaS-LiaR (cell wall stress response) two-component regulatory system,Environmental information processing,Two-component regulatory system,461
462,Environmental information processing - Two-component regulatory system - M00482: DevS-DevR (redox response) two-component regulatory system,M00482,M00482: DevS-DevR (redox response) two-component regulatory system,Environmental information processing,Two-component regulatory system,462
463,Environmental information processing - Two-component regulatory system - M00483: NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system,M00483,M00483: NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system,Environmental information processing,Two-component regulatory system,463
464,Environmental information processing - Two-component regulatory system - M00484: YdfH-YdfI two-component regulatory system,M00484,M00484: YdfH-YdfI two-component regulatory system,Environmental information processing,Two-component regulatory system,464
465,Environmental information processing - Two-component regulatory system - M00485: KinABCDE-Spo0FA (sporulation control) two-component regulatory system,M00485,M00485: KinABCDE-Spo0FA (sporulation control) two-component regulatory system,Environmental information processing,Two-component regulatory system,465
466,Environmental information processing - Two-component regulatory system - M00486: CitA-CitB (citrate fermentation) two-component regulatory system,M00486,M00486: CitA-CitB (citrate fermentation) two-component regulatory system,Environmental information processing,Two-component regulatory system,466
467,Environmental information processing - Two-component regulatory system - M00487: CitS-CitT (magnesium-citrate transport) two-component regulatory system,M00487,M00487: CitS-CitT (magnesium-citrate transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,467
468,Environmental information processing - Two-component regulatory system - M00488: DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system,M00488,M00488: DcuS-DcuR (C4-dicarboxylate metabolism) two-component regulatory system,Environmental information processing,Two-component regulatory system,468
469,Environmental information processing - Two-component regulatory system - M00489: DctS-DctR (C4-dicarboxylate transport) two-component regulatory system,M00489,M00489: DctS-DctR (C4-dicarboxylate transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,469
470,Environmental information processing - Two-component regulatory system - M00490: MalK-MalR (malate transport) two-component regulatory system,M00490,M00490: MalK-MalR (malate transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,470
471,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00491: arabinogalactan oligomer/maltooligosaccharide transport system",M00491,M00491: arabinogalactan oligomer/maltooligosaccharide transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",471
472,Environmental information processing - Two-component regulatory system - M00492: LytS-LytR two-component regulatory system,M00492,M00492: LytS-LytR two-component regulatory system,Environmental information processing,Two-component regulatory system,472
473,Environmental information processing - Two-component regulatory system - M00493: AlgZ-AlgR (alginate production) two-component regulatory system,M00493,M00493: AlgZ-AlgR (alginate production) two-component regulatory system,Environmental information processing,Two-component regulatory system,473
474,Environmental information processing - Two-component regulatory system - M00494: NatK-NatR (sodium extrusion) two-component regulatory system,M00494,M00494: NatK-NatR (sodium extrusion) two-component regulatory system,Environmental information processing,Two-component regulatory system,474
475,Environmental information processing - Two-component regulatory system - M00495: AgrC-AgrA (exoprotein synthesis) two-component regulatory system,M00495,M00495: AgrC-AgrA (exoprotein synthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,475
476,Environmental information processing - Two-component regulatory system - M00496: ComD-ComE (competence) two-component regulatory system,M00496,M00496: ComD-ComE (competence) two-component regulatory system,Environmental information processing,Two-component regulatory system,476
477,Environmental information processing - Two-component regulatory system - M00497: GlnL-GlnG (nitrogen regulation) two-component regulatory system,M00497,M00497: GlnL-GlnG (nitrogen regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,477
478,Environmental information processing - Two-component regulatory system - M00498: NtrY-NtrX (nitrogen regulation) two-component regulatory system,M00498,M00498: NtrY-NtrX (nitrogen regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,478
479,Environmental information processing - Two-component regulatory system - M00499: HydH-HydG (metal tolerance) two-component regulatory system,M00499,M00499: HydH-HydG (metal tolerance) two-component regulatory system,Environmental information processing,Two-component regulatory system,479
480,Environmental information processing - Two-component regulatory system - M00500: AtoS-AtoC (cPHB biosynthesis) two-component regulatory system,M00500,M00500: AtoS-AtoC (cPHB biosynthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,480
481,Environmental information processing - Two-component regulatory system - M00501: PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system,M00501,M00501: PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,481
482,Environmental information processing - Two-component regulatory system - M00502: GlrK-GlrR (amino sugar metabolism) two-component regulatory system,M00502,M00502: GlrK-GlrR (amino sugar metabolism) two-component regulatory system,Environmental information processing,Two-component regulatory system,482
483,Environmental information processing - Two-component regulatory system - M00503: PgtB-PgtA (phosphoglycerate transport) two-component regulatory system,M00503,M00503: PgtB-PgtA (phosphoglycerate transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,483
484,Environmental information processing - Two-component regulatory system - M00504: DctB-DctD (C4-dicarboxylate transport) two-component regulatory system,M00504,M00504: DctB-DctD (C4-dicarboxylate transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,484
485,Environmental information processing - Two-component regulatory system - M00505: KinB-AlgB (alginate production) two-component regulatory system,M00505,M00505: KinB-AlgB (alginate production) two-component regulatory system,Environmental information processing,Two-component regulatory system,485
486,Environmental information processing - Two-component regulatory system - M00506: CheA-CheYBV (chemotaxis) two-component regulatory system,M00506,M00506: CheA-CheYBV (chemotaxis) two-component regulatory system,Environmental information processing,Two-component regulatory system,486
487,Environmental information processing - Two-component regulatory system - M00507: ChpA-ChpB/PilGH (chemosensory) two-component regulatory system,M00507,M00507: ChpA-ChpB/PilGH (chemosensory) two-component regulatory system,Environmental information processing,Two-component regulatory system,487
488,Environmental information processing - Two-component regulatory system - M00508: PixL-PixGH (positive phototaxis) two-component regulatory system,M00508,M00508: PixL-PixGH (positive phototaxis) two-component regulatory system,Environmental information processing,Two-component regulatory system,488
489,Environmental information processing - Two-component regulatory system - M00509: WspE-WspRF (chemosensory) two-component regulatory system,M00509,M00509: WspE-WspRF (chemosensory) two-component regulatory system,Environmental information processing,Two-component regulatory system,489
490,Environmental information processing - Two-component regulatory system - M00510: Cph1-Rcp1 (light response) two-component regulatory system,M00510,M00510: Cph1-Rcp1 (light response) two-component regulatory system,Environmental information processing,Two-component regulatory system,490
491,Environmental information processing - Two-component regulatory system - M00511: PleC-PleD (cell fate control) two-component regulatory system,M00511,M00511: PleC-PleD (cell fate control) two-component regulatory system,Environmental information processing,Two-component regulatory system,491
492,Environmental information processing - Two-component regulatory system - M00512: CckA-CtrA/CpdR (cell cycle control) two-component regulatory system,M00512,M00512: CckA-CtrA/CpdR (cell cycle control) two-component regulatory system,Environmental information processing,Two-component regulatory system,492
493,Environmental information processing - Two-component regulatory system - M00513: LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system,M00513,M00513: LuxQN/CqsS-LuxU-LuxO (quorum sensing) two-component regulatory system,Environmental information processing,Two-component regulatory system,493
494,Environmental information processing - Two-component regulatory system - M00514: TtrS-TtrR (tetrathionate respiration) two-component regulatory system,M00514,M00514: TtrS-TtrR (tetrathionate respiration) two-component regulatory system,Environmental information processing,Two-component regulatory system,494
495,Environmental information processing - Two-component regulatory system - M00515: FlrB-FlrC (polar flagellar synthesis) two-component regulatory system,M00515,M00515: FlrB-FlrC (polar flagellar synthesis) two-component regulatory system,Environmental information processing,Two-component regulatory system,495
496,Environmental information processing - Two-component regulatory system - M00516: SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system,M00516,M00516: SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system,Environmental information processing,Two-component regulatory system,496
497,Environmental information processing - Two-component regulatory system - M00517: RpfC-RpfG (cell-to-cell signaling) two-component regulatory system,M00517,M00517: RpfC-RpfG (cell-to-cell signaling) two-component regulatory system,Environmental information processing,Two-component regulatory system,497
498,Environmental information processing - Two-component regulatory system - M00518: GlnK-GlnL (glutamine utilization) two-component regulatory system,M00518,M00518: GlnK-GlnL (glutamine utilization) two-component regulatory system,Environmental information processing,Two-component regulatory system,498
499,Environmental information processing - Two-component regulatory system - M00519: YesM-YesN two-component regulatory system,M00519,M00519: YesM-YesN two-component regulatory system,Environmental information processing,Two-component regulatory system,499
500,Environmental information processing - Two-component regulatory system - M00520: ChvG-ChvI (acidity sensing) two-component regulatory system,M00520,M00520: ChvG-ChvI (acidity sensing) two-component regulatory system,Environmental information processing,Two-component regulatory system,500
501,Environmental information processing - Two-component regulatory system - M00521: CiaH-CiaR two-component regulatory system,M00521,M00521: CiaH-CiaR two-component regulatory system,Environmental information processing,Two-component regulatory system,501
502,Environmental information processing - Two-component regulatory system - M00522: SalK-SalR two-component regulatory system,M00522,M00522: SalK-SalR two-component regulatory system,Environmental information processing,Two-component regulatory system,502
503,Environmental information processing - Two-component regulatory system - M00523: RegB-RegA (redox response) two-component regulatory system,M00523,M00523: RegB-RegA (redox response) two-component regulatory system,Environmental information processing,Two-component regulatory system,503
504,Environmental information processing - Two-component regulatory system - M00524: FixL-FixJ (nitrogen fixation) two-component regulatory system,M00524,M00524: FixL-FixJ (nitrogen fixation) two-component regulatory system,Environmental information processing,Two-component regulatory system,504
505,"Nucleotide and amino acid metabolism - Lysine metabolism - M00525: Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine",M00525,"M00525: Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine",Nucleotide and amino acid metabolism,Lysine metabolism,505
506,"Nucleotide and amino acid metabolism - Lysine metabolism - M00526: Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine",M00526,"M00526: Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine",Nucleotide and amino acid metabolism,Lysine metabolism,506
507,"Nucleotide and amino acid metabolism - Lysine metabolism - M00527: Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",M00527,"M00527: Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",Nucleotide and amino acid metabolism,Lysine metabolism,507
508,"Energy metabolism - Nitrogen metabolism - M00528: Nitrification, ammonia => nitrite",M00528,"M00528: Nitrification, ammonia => nitrite",Energy metabolism,Nitrogen metabolism,508
509,"Energy metabolism - Nitrogen metabolism - M00529: Denitrification, nitrate => nitrogen",M00529,"M00529: Denitrification, nitrate => nitrogen",Energy metabolism,Nitrogen metabolism,509
510,"Energy metabolism - Nitrogen metabolism - M00530: Dissimilatory nitrate reduction, nitrate => ammonia",M00530,"M00530: Dissimilatory nitrate reduction, nitrate => ammonia",Energy metabolism,Nitrogen metabolism,510
511,"Energy metabolism - Nitrogen metabolism - M00531: Assimilatory nitrate reduction, nitrate => ammonia",M00531,"M00531: Assimilatory nitrate reduction, nitrate => ammonia",Energy metabolism,Nitrogen metabolism,511
512,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00532: Photorespiration,M00532,M00532: Photorespiration,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,512
513,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",M00533,"M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,513
514,"Secondary metabolism - Aromatics degradation - M00534: Naphthalene degradation, naphthalene => salicylate",M00534,"M00534: Naphthalene degradation, naphthalene => salicylate",Secondary metabolism,Aromatics degradation,514
515,"Nucleotide and amino acid metabolism - Branched-chain amino acid metabolism - M00535: Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",M00535,"M00535: Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",Nucleotide and amino acid metabolism,Branched-chain amino acid metabolism,515
516,"Secondary metabolism - Aromatics degradation - M00537: Xylene degradation, xylene => methylbenzoate",M00537,"M00537: Xylene degradation, xylene => methylbenzoate",Secondary metabolism,Aromatics degradation,516
517,"Secondary metabolism - Aromatics degradation - M00538: Toluene degradation, toluene => benzoate",M00538,"M00538: Toluene degradation, toluene => benzoate",Secondary metabolism,Aromatics degradation,517
518,"Secondary metabolism - Aromatics degradation - M00539: Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate",M00539,"M00539: Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate",Secondary metabolism,Aromatics degradation,518
519,"Secondary metabolism - Aromatics degradation - M00540: Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA",M00540,"M00540: Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA",Secondary metabolism,Aromatics degradation,519
520,"Secondary metabolism - Aromatics degradation - M00541: Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",M00541,"M00541: Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",Secondary metabolism,Aromatics degradation,520
521,"Gene set - Pathogenicity - M00542: EHEC/EPEC pathogenicity signature, T3SS and effectors",M00542,"M00542: EHEC/EPEC pathogenicity signature, T3SS and effectors",Gene set,Pathogenicity,521
522,"Secondary metabolism - Aromatics degradation - M00543: Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate",M00543,"M00543: Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate",Secondary metabolism,Aromatics degradation,522
523,"Secondary metabolism - Aromatics degradation - M00544: Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate",M00544,"M00544: Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate",Secondary metabolism,Aromatics degradation,523
524,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00545: Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",M00545,"M00545: Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,524
525,"Nucleotide and amino acid metabolism - Purine metabolism - M00546: Purine degradation, xanthine => urea",M00546,"M00546: Purine degradation, xanthine => urea",Nucleotide and amino acid metabolism,Purine metabolism,525
526,"Secondary metabolism - Aromatics degradation - M00547: Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol",M00547,"M00547: Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol",Secondary metabolism,Aromatics degradation,526
527,"Secondary metabolism - Aromatics degradation - M00548: Benzene degradation, benzene => catechol",M00548,"M00548: Benzene degradation, benzene => catechol",Secondary metabolism,Aromatics degradation,527
528,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00549: Nucleotide sugar biosynthesis, glucose => UDP-glucose",M00549,"M00549: Nucleotide sugar biosynthesis, glucose => UDP-glucose",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,528
529,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00550: Ascorbate degradation, ascorbate => D-xylulose-5P",M00550,"M00550: Ascorbate degradation, ascorbate => D-xylulose-5P",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,529
530,"Secondary metabolism - Aromatics degradation - M00551: Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",M00551,"M00551: Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",Secondary metabolism,Aromatics degradation,530
531,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00552: D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",M00552,"M00552: D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,531
532,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00554: Nucleotide sugar biosynthesis, galactose => UDP-galactose",M00554,"M00554: Nucleotide sugar biosynthesis, galactose => UDP-galactose",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,532
533,"Nucleotide and amino acid metabolism - Serine and threonine metabolism - M00555: Betaine biosynthesis, choline => betaine",M00555,"M00555: Betaine biosynthesis, choline => betaine",Nucleotide and amino acid metabolism,Serine and threonine metabolism,533
534,"Energy metabolism - Methane metabolism - M00563: Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",M00563,"M00563: Methanogenesis, methylamine/dimethylamine/trimethylamine => methane",Energy metabolism,Methane metabolism,534
535,"Gene set - Pathogenicity - M00564: Helicobacter pylori pathogenicity signature, cagA pathogenicity island",M00564,"M00564: Helicobacter pylori pathogenicity signature, cagA pathogenicity island",Gene set,Pathogenicity,535
536,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00565: Trehalose biosynthesis, D-glucose 1P => trehalose",M00565,"M00565: Trehalose biosynthesis, D-glucose 1P => trehalose",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,536
537,"Environmental information processing - Peptide and nickel transport system - M00566: Dipeptide transport system, Firmicutes",M00566,"M00566: Dipeptide transport system, Firmicutes",Environmental information processing,Peptide and nickel transport system,537
538,"Energy metabolism - Methane metabolism - M00567: Methanogenesis, CO2 => methane",M00567,"M00567: Methanogenesis, CO2 => methane",Energy metabolism,Methane metabolism,538
539,"Secondary metabolism - Aromatics degradation - M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate",M00568,"M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate",Secondary metabolism,Aromatics degradation,539
540,"Secondary metabolism - Aromatics degradation - M00569: Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",M00569,"M00569: Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",Secondary metabolism,Aromatics degradation,540
541,"Nucleotide and amino acid metabolism - Branched-chain amino acid metabolism - M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",M00570,"M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Nucleotide and amino acid metabolism,Branched-chain amino acid metabolism,541
542,Environmental information processing - Bacterial secretion system - M00571: AlgE-type Mannuronan C-5-Epimerase transport system,M00571,M00571: AlgE-type Mannuronan C-5-Epimerase transport system,Environmental information processing,Bacterial secretion system,542
543,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",M00572,"M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,543
544,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00573: Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",M00573,"M00573: Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,544
545,"Gene set - Pathogenicity - M00574: Pertussis pathogenicity signature 1, pertussis toxin",M00574,"M00574: Pertussis pathogenicity signature 1, pertussis toxin",Gene set,Pathogenicity,545
546,"Gene set - Pathogenicity - M00575: Pertussis pathogenicity signature 2, T1SS",M00575,"M00575: Pertussis pathogenicity signature 2, T1SS",Gene set,Pathogenicity,546
547,"Nucleotide and amino acid metabolism - Cofactor and vitamin biosynthesis - M00577: Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",M00577,"M00577: Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",Nucleotide and amino acid metabolism,Cofactor and vitamin biosynthesis,547
548,"Energy metabolism - Carbon fixation - M00579: Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",M00579,"M00579: Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",Energy metabolism,Carbon fixation,548
549,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00580: Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",M00580,"M00580: Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,549
550,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00581: Biotin transport system",M00581,M00581: Biotin transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",550
551,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00582: Energy-coupling factor transport system",M00582,M00582: Energy-coupling factor transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",551
552,Environmental information processing - ABC-2 type and other transport systems - M00583: Putative peptide transport system,M00583,M00583: Putative peptide transport system,Environmental information processing,ABC-2 type and other transport systems,552
553,Environmental information processing - ABC-2 type and other transport systems - M00584: Acetoin utilization transport system,M00584,M00584: Acetoin utilization transport system,Environmental information processing,ABC-2 type and other transport systems,553
